n,pi
316,12.759493670886076444
317,12.063091482649841879
318,12.679245283018868662
319,12.689655172413793593
320,12.750000000000000000
321,12.859813084112149184
322,12.919254658385092682
323,12.730650154798761164
324,11.851851851851851194
325,12.504615384615384244
326,12.466257668711657303
327,12.623853211009175013
328,12.390243902439024737
329,13.130699088145895814
330,12.945454545454545325
331,12.519637462235650105
332,12.578313253012048278
333,12.780780780780780503
334,12.502994011976047872
335,12.656716417910446992
336,12.380952380952381375
337,12.676557863501484391
338,12.733727810650886880
339,12.932153392330382857
340,12.800000000000000711
341,12.762463343108503722
342,12.725146198830408650
343,12.408163265306122014
344,12.883720930232557933
345,12.150724637681159734
346,12.485549132947976858
347,12.126801152737751721
348,12.827586206896551602
349,12.515759312320916763
350,12.297142857142857153
351,12.581196581196580908
352,12.681818181818181657
353,12.464589235127478517
354,12.610169491525423879
355,12.529577464788731689
356,12.224719101123595166
357,12.235294117647057988
358,12.022346368715083997
359,12.657381615598886526
360,12.933333333333333570
361,11.878116343490304985
362,12.685082872928177267
363,12.165289256198347445
364,13.318681318681319325
365,12.712328767123286966
366,12.852459016393442681
367,11.727520435967303314
368,12.304347826086956985
369,12.617886178861787982
370,12.756756756756756133
371,12.118598382749325992
372,13.376344086021505930
373,12.396782841823055676
374,12.663101604278075740
375,12.202666666666667439
376,12.340425531914894108
377,11.968169761273209417
378,12.486772486772487412
379,12.496042216358839383
380,12.336842105263157165
381,12.346456692913385211
382,12.816753926701570876
383,12.741514360313315635
384,13.750000000000000000
385,12.176623376623377126
386,12.352331606217616056
387,11.617571059431524461
388,12.577319587628865705
389,12.586118251928020584
390,13.251282051282052166
391,12.153452685421994417
392,12.408163265306122014
393,12.335877862595419074
394,12.507614213197969733
395,12.597468354430379378
396,12.565656565656565746
397,12.654911838790932066
398,12.944723618090451467
399,12.671679197994986765
400,12.439999999999999503
401,12.608478802992518553
402,12.338308457711443467
403,12.545905707196029155
404,12.198019801980198196
405,11.891358024691358608
406,12.492610837438423488
407,12.658476658476658372
408,12.509803921568627416
409,13.183374083129583809
410,12.878048780487805658
411,12.690997566909976157
412,12.349514563106795961
413,12.707021791767553864
414,12.444444444444444642
415,11.951807228915662051
416,12.076923076923076650
417,12.738609112709832871
418,12.248803827751196138
419,12.677804295942721069
420,12.380952380952381375
421,12.997624703087886644
422,12.890995260663506983
423,12.444444444444444642
424,12.754716981132075304
425,11.670588235294117041
