x,y,Ex,Ey,E
-8.50000e+00,-7.00000e+00,1.05023e-01,1.81343e-01,2.09560e-01
-8.50000e+00,-6.50000e+00,1.28639e-01,1.93226e-01,2.32130e-01
-8.50000e+00,-6.00000e+00,1.55696e-01,2.03898e-01,2.56546e-01
-8.50000e+00,-5.50000e+00,1.86223e-01,2.12644e-01,2.82659e-01
-8.50000e+00,-5.00000e+00,2.20057e-01,2.18638e-01,3.10206e-01
-8.50000e+00,-4.50000e+00,2.56783e-01,2.20989e-01,3.38782e-01
-8.50000e+00,-4.00000e+00,2.95690e-01,2.18797e-01,3.67838e-01
-8.50000e+00,-3.50000e+00,3.35746e-01,2.11243e-01,3.96672e-01
-8.50000e+00,-3.00000e+00,3.75606e-01,1.97690e-01,4.24454e-01
-8.50000e+00,-2.50000e+00,4.13665e-01,1.77792e-01,4.50254e-01
-8.50000e+00,-2.00000e+00,4.48158e-01,1.51589e-01,4.73101e-01
-8.50000e+00,-1.50000e+00,4.77305e-01,1.19566e-01,4.92053e-01
-8.50000e+00,-1.00000e+00,4.99472e-01,8.26681e-02,5.06267e-01
-8.50000e+00,-5.00000e-01,5.13344e-01,4.22550e-02,5.15080e-01
-8.50000e+00,0.00000e+00,5.18066e-01,1.82146e-17,5.18066e-01
-8.50000e+00,5.00000e-01,5.13344e-01,-4.22550e-02,5.15080e-01
-8.50000e+00,1.00000e+00,4.99472e-01,-8.26681e-02,5.06267e-01
-8.50000e+00,1.50000e+00,4.77305e-01,-1.19566e-01,4.92053e-01
-8.50000e+00,2.00000e+00,4.48158e-01,-1.51589e-01,4.73101e-01
-8.50000e+00,2.50000e+00,4.13665e-01,-1.77792e-01,4.50254e-01
-8.50000e+00,3.00000e+00,3.75606e-01,-1.97690e-01,4.24454e-01
-8.50000e+00,3.50000e+00,3.35746e-01,-2.11243e-01,3.96672e-01
-8.50000e+00,4.00000e+00,2.95690e-01,-2.18797e-01,3.67838e-01
-8.50000e+00,4.50000e+00,2.56783e-01,-2.20989e-01,3.38782e-01
-8.50000e+00,5.00000e+00,2.20057e-01,-2.18638e-01,3.10206e-01
-8.50000e+00,5.50000e+00,1.86223e-01,-2.12644e-01,2.82659e-01
-8.50000e+00,6.00000e+00,1.55696e-01,-2.03898e-01,2.56546e-01
-8.50000e+00,6.50000e+00,1.28639e-01,-1.93226e-01,2.32130e-01
-8.50000e+00,7.00000e+00,1.05023e-01,-1.81343e-01,2.09560e-01
-8.50000e+00,7.50000e+00,8.46809e-02,-1.68843e-01,1.88888e-01
-8.50000e+00,8.00000e+00,6.73574e-02,-1.56191e-01,1.70096e-01
-8.50000e+00,8.50000e+00,5.27505e-02,-1.43740e-01,1.53114e-01
-8.50000e+00,9.00000e+00,4.05415e-02,-1.31740e-01,1.37837e-01
-8.50000e+00,9.50000e+00,3.04163e-02,-1.20359e-01,1.24143e-01
-8.50000e+00,1.00000e+01,2.20793e-02,-1.09697e-01,1.11897e-01
-8.00000e+00,-1.00000e+01,1.69293e-02,1.17236e-01,1.18452e-01
-8.00000e+00,-9.50000e+00,2.53295e-02,1.29638e-01,1.32090e-01
-8.00000e+00,-9.00000e+00,3.57381e-02,1.43081e-01,1.47477e-01
-8.00000e+00,-8.50000e+00,4.85364e-02,1.57496e-01,1.64805e-01
-8.00000e+00,-8.00000e+00,6.41453e-02,1.72737e-01,1.84263e-01
-8.00000e+00,-7.50000e+00,8.30128e-02,1.88561e-01,2.06025e-01
-8.00000e+00,-7.00000e+00,1.05590e-01,2.04593e-01,2.30234e-01
-8.00000e+00,-6.50000e+00,1.32298e-01,2.20304e-01,2.56976e-01
-8.00000e+00,-6.00000e+00,1.63470e-01,2.34988e-01,2.86255e-01
-8.00000e+00,-5.50000e+00,1.99289e-01,2.47749e-01,3.17956e-01
-8.00000e+00,-5.00000e+00,2.39701e-01,2.57512e-01,3.51808e-01
-8.00000e+00,-4.50000e+00,2.84325e-01,2.63063e-01,3.87354e-01
